output,fattore,mu,mu_star,sigma,n_ee
E[Battery-electric]@10nmi_200kt_propeller,e_battery_Wh_per_kg,-5.70858178673315,5.70858178673315,17.866917780073663,18
E[Battery-electric]@10nmi_200kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_200kt_propeller,eta_fuel_cell,0.0,0.0,0.0,19
E[Battery-electric]@10nmi_200kt_propeller,gamma_tank,0.0,0.0,0.0,20
E[Battery-electric]@10nmi_200kt_propeller,electricity,-0.09397974935131471,0.09397974935131471,0.05190147768298045,19
E[Battery-electric]@10nmi_200kt_propeller,liquid_hydrogen,0.0,0.0,0.0,18
E[Battery-electric]@10nmi_200kt_propeller,e_saf,0.0,0.0,0.0,18
E[Battery-electric]@10nmi_200kt_propeller,eta_motor,-0.5395660855484874,0.5395660855484874,0.568027528062533,19
E[Battery-electric]@10nmi_200kt_propeller,eta_p_propeller,-0.4818865782580253,0.4818865782580253,0.41951365313163946,19
E[Battery-electric]@10nmi_200kt_propeller,eta_p_fan,0.0,0.0,0.0,19
E[Battery-electric]@10nmi_200kt_propeller,oew_fan_b,0.0,0.0,0.0,19
E[Battery-electric]@10nmi_200kt_propeller,oew_fan_r_pivot,0.0,0.0,0.0,18
E[Battery-electric]@10nmi_200kt_propeller,oew_prop_b,0.0,0.0,0.0,19
E[Battery-electric]@10nmi_200kt_propeller,oew_prop_r_pivot,0.0,0.0,0.0,18
E[Battery-electric]@10nmi_200kt_propeller,calibration_block,-0.3460522994635839,0.34907564633722477,0.4047658774897869,20
E[Battery-electric]@10nmi_250kt_propeller,e_battery_Wh_per_kg,-2.960718955531597,2.960718955531597,2.7450277836370507,16
E[Battery-electric]@10nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_250kt_propeller,eta_fuel_cell,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_250kt_propeller,gamma_tank,0.0,0.0,0.0,19
E[Battery-electric]@10nmi_250kt_propeller,electricity,-0.13846792304886973,0.13846792304886973,0.0774409314311237,18
E[Battery-electric]@10nmi_250kt_propeller,liquid_hydrogen,0.0,0.0,0.0,18
E[Battery-electric]@10nmi_250kt_propeller,e_saf,0.0,0.0,0.0,18
E[Battery-electric]@10nmi_250kt_propeller,eta_motor,-3.720667608250325,3.720667608250325,10.810354958065787,19
E[Battery-electric]@10nmi_250kt_propeller,eta_p_propeller,-1.7971880379651306,1.7971880379651306,3.713019831790592,18
E[Battery-electric]@10nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,19
E[Battery-electric]@10nmi_250kt_propeller,oew_fan_b,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_250kt_propeller,oew_fan_r_pivot,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_250kt_propeller,oew_prop_b,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_250kt_propeller,oew_prop_r_pivot,0.0,0.0,0.0,17
E[Battery-electric]@10nmi_250kt_propeller,calibration_block,-0.541339099917067,0.5515718641802573,0.8141701283930294,20
E[Battery-electric]@20nmi_250kt_propeller,e_battery_Wh_per_kg,-9.276118480609176,9.276118480609176,17.117333833062176,15
E[Battery-electric]@20nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,16
E[Battery-electric]@20nmi_250kt_propeller,eta_fuel_cell,0.0,0.0,0.0,16
E[Battery-electric]@20nmi_250kt_propeller,gamma_tank,0.0,0.0,0.0,18
E[Battery-electric]@20nmi_250kt_propeller,electricity,-0.25828444014291724,0.25828444014291724,0.34081029812132024,17
E[Battery-electric]@20nmi_250kt_propeller,liquid_hydrogen,0.0,0.0,0.0,17
E[Battery-electric]@20nmi_250kt_propeller,e_saf,0.0,0.0,0.0,17
E[Battery-electric]@20nmi_250kt_propeller,eta_motor,-9.21736907883959,9.21736907883959,32.645021940294946,17
E[Battery-electric]@20nmi_250kt_propeller,eta_p_propeller,-5.23558177350337,5.23558177350337,8.81061853406887,17
E[Battery-electric]@20nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,19
E[Battery-electric]@20nmi_250kt_propeller,oew_fan_b,0.0,0.0,0.0,16
E[Battery-electric]@20nmi_250kt_propeller,oew_fan_r_pivot,0.0,0.0,0.0,17
E[Battery-electric]@20nmi_250kt_propeller,oew_prop_b,0.0,0.0,0.0,17
E[Battery-electric]@20nmi_250kt_propeller,oew_prop_r_pivot,0.0,0.0,0.0,15
E[Battery-electric]@20nmi_250kt_propeller,calibration_block,-5.8637798747747745,5.871541992808158,20.58358764774887,19
E[Battery-electric]@5nmi_300kt_fan,e_battery_Wh_per_kg,-18.1918271345094,18.1918271345094,16.182621934614023,12
E[Battery-electric]@5nmi_300kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,15
E[Battery-electric]@5nmi_300kt_fan,eta_fuel_cell,0.0,0.0,0.0,15
E[Battery-electric]@5nmi_300kt_fan,gamma_tank,0.0,0.0,0.0,18
E[Battery-electric]@5nmi_300kt_fan,electricity,-0.4978291868654824,0.4978291868654824,0.48029947791042354,17
E[Battery-electric]@5nmi_300kt_fan,liquid_hydrogen,0.0,0.0,0.0,17
E[Battery-electric]@5nmi_300kt_fan,e_saf,0.0,0.0,0.0,17
E[Battery-electric]@5nmi_300kt_fan,eta_motor,-7.464369411469282,7.464369411469282,12.082482214597656,16
E[Battery-electric]@5nmi_300kt_fan,eta_p_propeller,0.0,0.0,0.0,17
E[Battery-electric]@5nmi_300kt_fan,eta_p_fan,-12.425475212417894,12.425475212417894,19.578613759737454,18
E[Battery-electric]@5nmi_300kt_fan,oew_fan_b,0.0,0.0,0.0,16
E[Battery-electric]@5nmi_300kt_fan,oew_fan_r_pivot,0.0,0.0,0.0,17
E[Battery-electric]@5nmi_300kt_fan,oew_prop_b,0.0,0.0,0.0,16
E[Battery-electric]@5nmi_300kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,15
E[Battery-electric]@5nmi_300kt_fan,calibration_block,4.469541090000849,4.469541090000849,12.349644300303853,18
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,fuel_cell_specific_power_kW_per_kg,-1.756691691173743,1.756691691173743,0.9784863988204642,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_fuel_cell,-2.1025921167203343,2.1025921167203343,0.3930618481047795,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,gamma_tank,-0.2683001835614489,0.2683001835614489,0.12214002740694149,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,electricity,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,liquid_hydrogen,-0.5470211459422362,0.5470211459422362,0.23443833297873737,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_saf,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_motor,-1.2463114896609249,1.2463114896609249,0.45396604802419926,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_p_propeller,-0.6275478774732776,0.6275478774732776,0.29871291289858437,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_b,1.3115901265811967,1.3115901265811967,0.8778177187302884,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_r_pivot,0.7499742181956617,0.7499742181956617,0.5715551886108649,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_prop_b,0.24006736514121796,0.24212870874254114,0.13860503687211786,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_prop_r_pivot,0.4865063674542894,0.4865063674542894,0.3278546119253056,20
E[Hydrogen fuel cell]@100nmi_200kt_propeller,calibration_block,-0.4231117184133524,0.5720990110362759,0.5554053711234135,20
E[Hydrogen fuel cell]@100nmi_300kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@100nmi_300kt_propeller,fuel_cell_specific_power_kW_per_kg,-5.736993800902308,5.736993800902308,4.15555405739705,20
