missione,metrica,range_nodo_nmi,speed_nodo_kt,propulsore,vincitore_modale,frequenza_vincitore,sost_mediana,sost_lo,sost_hi,kero_mediana,kero_lo,kero_hi,p_sost_meglio,campioni_validi
"10 nmi, 200 kt (propeller)",co2,10.0,196.4102564102564,propeller,Battery-electric (propeller),0.9873333333333333,189.62484741210938,136.45702743530273,471.17864227294916,251.47021484375,231.04120407104492,277.74439697265626,0.7946666666666666,1500
"10 nmi, 200 kt (propeller)",primaria,10.0,196.4102564102564,propeller,Battery-electric (propeller),0.9873333333333333,2.966506004333496,2.1251340389251707,7.321886110305786,3.449690818786621,3.1418235540390014,3.832951855659485,0.6946666666666667,1500
"50 nmi, 250 kt (propeller)",co2,48.06380863064389,253.84615384615384,propeller,Hydrogen fuel cell (propeller),0.438,822.772216796875,365.01417083740233,955.5405975341797,190.16551208496094,177.37565155029296,204.4534423828125,0.0,1500
"50 nmi, 250 kt (propeller)",primaria,48.06380863064389,253.84615384615384,propeller,Hydrogen fuel cell (propeller),0.438,12.797100067138672,5.66545524597168,14.890876388549804,2.611379861831665,2.4145126223564146,2.8236396312713623,0.0,1500
"300 nmi, 250 kt (propeller)",co2,316.22776601683796,253.84615384615384,propeller,Hydrogen combustion (propeller),0.5506666666666666,608.96533203125,485.3044692993164,687.9679779052734,136.15957641601562,126.6541130065918,146.98888931274413,0.0,1500
"300 nmi, 250 kt (propeller)",primaria,316.22776601683796,253.84615384615384,propeller,Hydrogen combustion (propeller),0.5506666666666666,9.485065460205078,7.5704810380935665,10.734922981262207,1.8709142208099365,1.728448075056076,2.024870216846466,0.0,1500
"1500 nmi, 250 kt (propeller)",co2,1519.9110829529332,253.84615384615384,propeller,Hydrogen combustion (propeller),0.758,506.8974304199219,420.6906539916992,573.5891845703125,113.53408813476562,104.27014694213867,124.3465980529785,0.0,1500
"1500 nmi, 250 kt (propeller)",primaria,1519.9110829529332,253.84615384615384,propeller,Hydrogen combustion (propeller),0.758,7.889466285705566,6.630110454559326,8.92459421157837,1.562038540840149,1.4228451251983643,1.712606805562973,0.0,1500
"100 nmi, 450 kt (fan)",co2,105.37249727360725,450.7692307692307,fan,Hydrogen combustion (fan),1.0,609.987060546875,541.5408996582031,693.0412384033203,135.266845703125,124.27215538024902,148.03660888671874,0.0,1500
"100 nmi, 450 kt (fan)",primaria,105.37249727360725,450.7692307692307,fan,Hydrogen combustion (fan),1.0,9.524609565734863,8.420502328872681,10.801830863952636,1.8571836948394775,1.6881814658641816,2.0344621300697328,0.0,1500
"1500 nmi, 450 kt (fan)",co2,1519.9110829529332,450.7692307692307,fan,Hydrogen combustion (fan),1.0,342.7028503417969,308.69251251220703,380.80750274658203,76.06651306152344,70.83383750915527,81.72949447631837,0.0,1500
"1500 nmi, 450 kt (fan)",primaria,1519.9110829529332,450.7692307692307,fan,Hydrogen combustion (fan),1.0,5.346793174743652,4.801518440246582,5.927433061599731,1.0445643663406372,0.9644584387540818,1.1287581503391266,0.0,1500
"6000 nmi, 450 kt (fan)",co2,6243.879965653626,450.7692307692307,fan,Hydrogen combustion (fan),1.0,349.57635498046875,305.8661651611328,415.21155242919923,79.59834289550781,72.18718032836914,90.67836112976075,0.0,1500
"6000 nmi, 450 kt (fan)",primaria,6243.879965653626,450.7692307692307,fan,Hydrogen combustion (fan),1.0,5.442192077636719,4.768644762039185,6.455475401878357,1.0938177108764648,0.9847158968448639,1.2534442663192749,0.0,1500
"10000 nmi, 450 kt (fan)",co2,10000.0,450.7692307692307,fan,Hydrogen combustion (fan),1.0,391.7159423828125,314.7927581787109,559.6271240234374,87.98704528808594,72.32708320617675,123.3256233215332,0.0,1500
"10000 nmi, 450 kt (fan)",primaria,10000.0,450.7692307692307,fan,Hydrogen combustion (fan),1.0,6.101872444152832,4.911744141578675,8.800765323638917,1.2070906162261963,0.993854433298111,1.694164162874222,0.0,1500
