output,fattore,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,interazione,n_valid,frazione_valida,N,trasformazione
E[Battery-electric]@10nmi_200kt_propeller,oew_fan_b,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,oew_fan_r_pivot,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,eta_motor,0.07990752861395484,,,0.051362439262666496,,,-0.02854508935128834,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,calibration_block,0.072770770403964,,,0.14404892031812763,,,0.07127814991416363,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,e_battery_Wh_per_kg,0.9556332006937881,,,0.9757913198972268,,,0.020158119203438685,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,eta_fuel_cell,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,liquid_hydrogen,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,e_saf,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,gamma_tank,0.0,,,0.0,,,0.0,63,0.984375,64,log
E[Battery-electric]@10nmi_200kt_propeller,resto,0.027687889156355207,,,0.028362564147224906,,,0.0006746749908696989,63,0.984375,64,log
E[Battery-electric]@10nmi_250kt_propeller,oew_fan_b,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,oew_fan_r_pivot,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,eta_motor,0.027799791624670903,,,0.2155659701469526,,,0.18776617852228172,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,calibration_block,0.0516549694150251,,,0.07022170097676908,,,0.01856673156174398,54,0.84375,64,log
E[Battery-electric]@10nmi_250kt_propeller,e_battery_Wh_per_kg,1.3269893851769305,,,1.7447258961237182,,,0.41773651094678765,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,eta_fuel_cell,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,liquid_hydrogen,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,e_saf,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,gamma_tank,0.0,,,0.0,,,0.0,55,0.859375,64,log
E[Battery-electric]@10nmi_250kt_propeller,resto,0.02733413024925495,,,0.03242360169577224,,,0.00508947144651729,55,0.859375,64,log
E[Battery-electric]@20nmi_250kt_propeller,oew_fan_b,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,oew_fan_r_pivot,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,eta_motor,0.16171534759621817,,,0.1405012932758006,,,-0.021214054320417564,41,0.640625,64,log
E[Battery-electric]@20nmi_250kt_propeller,calibration_block,-0.028966502246527248,,,0.07319567223241942,,,0.10216217447894667,41,0.640625,64,log
E[Battery-electric]@20nmi_250kt_propeller,e_battery_Wh_per_kg,0.46121988104707534,,,1.1319111577996996,,,0.6706912767526243,42,0.65625,64,log
E[Battery-electric]@20nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,eta_fuel_cell,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,liquid_hydrogen,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,e_saf,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,gamma_tank,0.0,,,0.0,,,0.0,43,0.671875,64,log
E[Battery-electric]@20nmi_250kt_propeller,resto,0.00859696963614348,,,0.04773253068734947,,,0.03913556105120599,42,0.65625,64,log
E[Battery-electric]@5nmi_300kt_fan,oew_fan_b,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,oew_fan_r_pivot,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,eta_motor,0.10839047922801467,,,0.12620642077631172,,,0.01781594154829705,37,0.578125,64,log
E[Battery-electric]@5nmi_300kt_fan,calibration_block,0.04215252816084998,,,0.06750119194636052,,,0.02534866378551054,37,0.578125,64,log
E[Battery-electric]@5nmi_300kt_fan,e_battery_Wh_per_kg,0.7087076326761625,,,1.1529753793915478,,,0.44426774671538527,39,0.609375,64,log
E[Battery-electric]@5nmi_300kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,eta_fuel_cell,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,liquid_hydrogen,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,e_saf,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,gamma_tank,0.0,,,0.0,,,0.0,40,0.625,64,log
E[Battery-electric]@5nmi_300kt_fan,resto,0.023558197684592504,,,0.14448218733188017,,,0.12092398964728768,38,0.59375,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_b,0.03007658941663807,,,0.057974677601013776,,,0.027898088184375707,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_r_pivot,0.027892558795064526,,,0.015718066850058873,,,-0.012174491945005653,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_motor,0.1389435757021159,,,0.10198488381947922,,,-0.03695869188263669,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,calibration_block,0.08865913603439536,,,0.0622034977661815,,,-0.026455638268213864,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,fuel_cell_specific_power_kW_per_kg,0.24387001001553238,,,0.2250377886993447,,,-0.01883222131618767,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_fuel_cell,0.34062003737669183,,,0.35775155616595106,,,0.017131518789259226,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,liquid_hydrogen,0.05391941267667717,,,0.02890216414530369,,,-0.025017248531373482,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,gamma_tank,0.011590351489079288,,,0.004583471364359189,,,-0.007006880124720099,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,resto,0.03461285540541048,,,0.04716508524110906,,,0.012552229835698578,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,oew_fan_b,0.027207862971345764,,,0.020621611007958007,,,-0.006586251963387756,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,oew_fan_r_pivot,0.014137996613652544,,,0.007104683337805998,,,-0.0070333132758465455,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,eta_motor,0.10223841208991997,,,0.04686204617847611,,,-0.05537636591144386,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,calibration_block,0.3087423058686135,,,0.4846924692027182,,,0.17595016333410468,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,fuel_cell_specific_power_kW_per_kg,0.20933631640134948,,,0.20156870892585857,,,-0.007767607475490906,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,eta_fuel_cell,0.10119118916453197,,,0.11889898643713043,,,0.017707797272598455,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,liquid_hydrogen,0.002774974447855799,,,0.00551779628213308,,,0.0027428218342772813,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,e_saf,0.0,,,0.0,,,0.0,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,gamma_tank,0.0014307863576244254,,,0.002171599845388189,,,0.0007408134877637635,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,resto,0.008658086890844024,,,0.010740972428290464,,,0.0020828855374464394,62,0.96875,64,log
